Word 1	Word 2	Count	perMillion
completed	in 	15657	72.705417240843
named	for 	15655	72.696129967771
coast	of 	15625	72.556820871697
summer	of 	15611	72.491809960196
supported	by 	15597	72.426799048695
combination	of 	15559	72.250340860335
if	it 	15557	72.241053587264
edition	of 	15533	72.129606310405
city	is 	15521	72.073882671975
operated	by 	15511	72.027446306618
so	the 	15505	71.999584487403
School	and 	15472	71.846344481722
area	is 	15471	71.841700845186
inspired	by 	15463	71.804551752900
people	who 	15463	71.804551752900
because	they 	15388	71.456279012716
day	of 	15384	71.437704466572
have	also 	15378	71.409842647358
story	of 	15363	71.340188099321
considered	a 	15349	71.275177187820
after	being 	15347	71.265889914748
form	the 	15318	71.131224455210
inside	the 	15278	70.945478993779
likely	to 	15237	70.755089895811
elements	of 	15219	70.671504438167
size	of 	15216	70.657573528560
soon	after 	15202	70.592562617059
species	of 	15134	70.276795332625
form	a 	15124	70.230358967267
by	their 	15115	70.188566238445
most	famous 	15111	70.169991692302
only	in 	15097	70.104980780801
both	of 	15061	69.937809865513
length	of 	15040	69.840293498261
or	in 	15028	69.784569859832
having	been 	15017	69.733489857938
might	be 	14990	69.608111671472
reached	the 	14980	69.561675306114
subject	to 	14941	69.380573481218
town	in 	14934	69.348068025468
In	contrast 	14932	69.338780752396
assigned	to 	14921	69.287700750502
applied	to 	14896	69.171609837108
these	were 	14892	69.153035290964
provided	by 	14888	69.134460744821
Earl	of 	14881	69.101955289071
took	over 	14863	69.018369831427
five	years 	14850	68.958002556461
theory	of 	14840	68.911566191103
although	he 	14839	68.906922554568
sense	of 	14825	68.841911643067
Bank	of 	14815	68.795475277709
increase	in 	14798	68.716533456600
style	of 	14792	68.688671637386
well	known 	14737	68.433271627917
four	years 	14697	68.247526166486
especially	in 	14666	68.103573433876
featured	in 	14644	68.001413430089
came	from 	14641	67.987482520481
served	in 	14639	67.978195247410
win	the 	14633	67.950333428195
time	and 	14623	67.903897062837
each	year 	14616	67.871391607087
hundreds	of 	14604	67.815667968657
much	more 	14595	67.773875239835
how	to 	14566	67.639209780297
middle	of 	14545	67.541693413046
gave	the 	14518	67.416315226579
her	first 	14506	67.360591588150
aspects	of 	14473	67.207351582469
use	in 	14437	67.040180667181
people	in 	14420	66.961238846072
establishment	of 	14403	66.882297024964
while	in 	14379	66.770849748105
introduction	of 	14371	66.733700655819
comes	from 	14316	66.478300646350
formation	of 	14305	66.427220644456
first	of 	14297	66.390071552170
United	Nations 	14265	66.241475183025
recent	years 	14264	66.236831546489
remained	in 	14259	66.213613363810
includes	the 	14255	66.195038817667
Party	of 	14247	66.157889725381
Roman	Catholic 	14241	66.130027906166
except	for 	14193	65.907133352448
named	the 	14168	65.791042439053
one	or 	14130	65.614584250693
name	is 	14123	65.582078794943
She	also 	14107	65.507780610370
her	husband 	14092	65.438126062333
returning	to 	14081	65.387046060440
seems	to 	14065	65.312747875867
down	to 	14064	65.308104239331
needed	to 	14063	65.303460602796
office	of 	14051	65.247736964366
position	of 	14027	65.136289687507
noted	that 	14024	65.122358777900
attached	to 	14023	65.117715141364
levels	of 	14014	65.075922412542
introduced	in 	13941	64.736936945429
now	the 	13938	64.723006035822
became	an 	13935	64.709075126215
set	in 	13924	64.657995124321
field	of 	13912	64.602271485892
division	of 	13909	64.588340576284
may	not 	13894	64.518686028247
him	and 	13878	64.444387843675
see	the 	13861	64.365446022566
television	series 	13860	64.360802386031
place	of 	13836	64.249355109172
below	the 	13834	64.240067836100
subject	of 	13830	64.221493289957
represented	by 	13819	64.170413288063
developed	by 	13818	64.165769651527
other	than 	13803	64.096115103491
what	was 	13802	64.091471466955
appears	to 	13798	64.072896920812
want	to 	13752	63.859289640165
possible	to 	13681	63.529591446124
built	by 	13680	63.524947809589
serves	as 	13668	63.469224171159
them	in 	13647	63.371707803908
became	known 	13643	63.353133257764
won	a 	13602	63.162744159797
next	to 	13585	63.083802338689
days	of 	13563	62.981642334901
via	the 	13563	62.981642334901
location	of 	13522	62.791253236934
played	by 	13516	62.763391417719
him	a 	13494	62.661231413932
take	the 	13478	62.586933229359
power	of 	13472	62.559071410145
focused	on 	13444	62.429049587142
available	in 	13439	62.405831404464
island	of 	13404	62.243304125711
because	he 	13394	62.196867760353
year	of 	13369	62.080776846958
north	and 	13349	61.987904116243
created	a 	13345	61.969329570099
branch	of 	13328	61.890387748991
Museum	of 	13321	61.857882293240
North	American 	13319	61.848595020169
other	hand 	13303	61.774296835596
plans	to 	13298	61.751078652917
founder	of 	13297	61.746435016382
if	he 	13296	61.741791379846
I	was 	13273	61.634987739523
without	the 	13266	61.602482283772
beginning	in 	13253	61.542115008807
science	fiction 	13175	61.179911359015
following	a 	13157	61.096325901371
effects	of 	13143	61.031314989870
basis	of 	13136	60.998809534120
International	Airport 	13130	60.970947714905
one	in 	13073	60.706260432365
War	of 	13073	60.706260432365
